exercise_points exam_points grades
8.25 31.39 2.00
16.03 40.00 5.00
10.00 32.58 3.00
7.89 26.88 1.00
10.29 38.31 4.00
14.48 38.27 4.00
14.87 40.00 5.00
18.33 40.00 5.00
13.59 40.00 4.00
13.18 39.12 4.00
5.86 28.03 1.00
12.79 40.00 4.00
15.65 37.84 4.00
14.24 36.17 4.00
2.47 26.29 0.00
8.90 36.00 3.00
17.10 38.43 5.00
16.15 40.00 5.00
13.10 31.65 3.00
17.99 40.00 5.00
3.32 26.00 0.00
7.87 34.25 3.00
5.89 32.51 2.00
1.54 27.73 0.00
14.86 40.00 5.00
8.82 33.23 3.00
7.51 32.67 2.00
11.79 37.56 4.00
12.59 37.41 4.00
12.05 31.76 3.00
17.61 39.51 5.00
2.00 26.00 0.00
8.49 39.00 3.00
12.33 34.28 3.00
6.70 35.69 3.00
8.01 31.14 2.00
20.00 40.00 5.00
10.57 31.87 3.00
16.43 40.00 5.00
18.41 40.00 5.00
8.94 29.31 2.00
8.68 39.99 4.00
7.37 33.24 2.00
1.78 28.27 1.00
12.57 40.00 4.00
20.00 40.00 5.00
11.95 36.11 4.00
10.08 33.73 3.00
2.54 22.46 0.00
4.62 29.60 1.00
6.48 34.68 2.00
12.45 33.68 3.00
15.08 38.51 4.00
10.55 34.76 3.00
14.58 40.00 5.00
10.66 37.51 4.00
1.51 21.27 0.00
12.99 34.68 3.00
9.14 34.07 3.00
11.29 36.92 4.00
6.37 33.32 2.00
12.66 40.00 4.00
9.04 30.87 2.00
11.25 33.34 3.00
10.39 40.00 4.00
12.16 32.92 3.00
11.41 36.95 4.00
0.00 23.08 0.00
6.16 26.69 1.00
8.00 32.24 2.00
12.11 40.00 4.00
4.42 23.25 0.00
0.00 25.97 0.00
10.56 35.79 3.00
11.90 37.55 4.00
11.56 34.19 3.00
0.00 27.75 0.00
10.66 39.03 4.00
12.62 35.76 4.00
1.90 27.41 0.00
17.29 40.00 5.00
12.79 38.46 4.00
11.68 34.04 3.00
7.29 32.54 2.00
7.10 28.99 2.00
9.82 37.93 3.00
11.64 37.95 4.00
3.06 33.10 2.00
12.95 38.44 4.00
8.64 34.97 3.00
11.14 40.00 4.00
10.39 36.45 3.00
12.66 33.70 3.00
15.44 40.00 5.00
6.96 34.42 2.00
5.66 28.34 1.00
13.61 38.62 4.00
14.88 38.16 4.00
10.55 35.84 3.00
9.23 35.25 3.00
3.32 25.04 0.00
9.15 39.16 4.00
14.68 38.94 4.00
16.15 38.58 5.00
14.41 40.00 5.00
13.93 40.00 5.00
0.59 23.62 0.00
2.45 29.54 1.00
10.16 34.93 3.00
14.28 38.01 4.00
5.34 30.36 1.00
10.51 38.73 4.00
4.90 33.44 2.00
8.95 37.01 3.00
17.14 40.00 5.00
12.05 29.53 2.00
3.16 24.69 0.00
4.22 24.45 0.00
12.79 40.00 4.00
6.44 28.65 1.00
13.15 39.36 4.00
14.20 34.75 4.00
0.00 23.54 0.00
4.35 30.79 1.00
2.18 28.59 1.00
2.23 23.14 0.00
9.25 36.63 3.00
8.04 32.12 2.00
9.43 30.47 2.00
6.73 33.19 2.00
14.34 40.00 5.00
13.11 40.00 4.00
9.82 34.67 3.00
14.86 34.71 4.00
11.86 34.27 3.00
18.56 40.00 5.00
12.48 40.00 4.00
14.52 32.91 3.00
2.16 28.01 1.00
5.71 34.80 2.00
10.98 36.17 3.00
20.00 40.00 5.00
14.55 38.83 4.00
8.92 32.74 2.00
3.29 29.19 1.00
5.48 32.25 2.00
7.91 32.74 2.00
11.23 38.05 4.00
10.97 37.13 4.00
17.68 40.00 5.00
8.53 34.04 3.00
10.81 30.68 2.00
11.99 33.88 3.00
7.45 38.66 3.00
7.98 35.26 3.00
7.01 31.99 2.00
17.82 38.94 5.00
9.47 34.16 3.00
11.92 34.71 3.00
7.63 36.67 3.00
6.54 31.23 2.00
2.00 19.30 0.00
19.36 40.00 5.00
15.44 40.00 5.00
4.01 29.41 1.00
9.88 30.65 2.00
5.99 30.04 2.00
12.16 39.93 4.00
6.49 30.07 2.00
13.66 40.00 4.00
14.22 39.52 4.00
0.00 22.19 0.00
15.93 40.00 5.00
17.48 40.00 5.00
16.47 40.00 5.00
13.52 37.23 4.00
10.31 34.41 3.00
14.59 36.77 4.00
8.71 32.85 2.00
9.60 35.65 3.00
7.56 26.09 1.00
4.20 34.00 2.00
8.08 32.88 2.00
13.36 40.00 4.00
8.30 31.13 2.00
7.22 33.71 2.00
13.40 38.22 4.00
17.17 40.00 5.00
2.07 24.38 0.00
11.07 34.45 3.00
11.41 35.86 3.00
13.11 34.51 3.00
10.75 35.62 3.00
12.50 38.53 4.00
11.95 35.20 3.00
7.28 31.65 2.00
15.72 37.75 4.00
8.57 29.12 2.00
10.71 35.25 3.00
3.62 29.32 1.00
13.80 40.00 4.00
2.46 32.08 1.00
10.64 40.00 4.00
7.05 35.30 3.00
11.38 39.11 4.00
16.61 40.00 5.00
10.48 37.11 3.00
12.61 39.78 4.00
7.76 39.96 3.00
12.18 33.29 3.00
15.44 40.00 5.00
10.34 37.80 4.00
7.29 34.25 2.00
15.51 40.00 5.00
12.39 35.48 3.00
7.56 33.02 2.00
13.24 37.74 4.00
8.39 35.97 3.00
8.81 26.31 1.00
14.85 40.00 5.00
13.09 38.61 4.00
16.23 35.92 4.00
5.93 29.83 1.00
7.27 32.82 2.00
10.33 33.23 3.00
17.50 40.00 5.00
9.46 35.87 3.00
12.94 36.41 4.00
12.47 38.02 4.00
10.40 39.24 4.00
7.97 38.00 3.00
15.51 38.93 5.00
8.85 32.24 2.00
2.78 28.91 1.00
16.32 40.00 5.00
10.61 37.81 4.00
10.48 36.28 3.00
7.75 40.00 3.00
13.44 40.00 4.00
13.36 36.63 4.00
3.64 31.48 1.00
14.76 40.00 5.00
15.27 39.08 5.00
12.91 34.02 3.00
18.81 40.00 5.00
9.05 36.36 3.00
17.03 40.00 5.00
8.12 29.79 2.00
13.31 32.96 3.00
8.30 31.58 2.00
12.57 38.60 4.00
10.09 35.20 3.00
10.95 32.71 3.00
14.60 35.71 4.00
12.50 37.82 4.00
10.92 35.43 3.00
4.00 23.97 0.00
4.39 34.40 2.00
9.12 31.70 2.00
14.56 38.47 4.00
0.00 20.29 0.00
19.81 40.00 5.00
18.01 40.00 5.00
13.74 38.19 4.00
9.21 40.00 4.00
7.32 32.28 2.00
0.00 24.23 0.00
5.66 29.65 1.00
10.17 37.58 3.00
7.94 38.77 3.00
11.34 37.51 4.00
18.32 40.00 5.00
13.33 36.11 4.00
3.38 33.39 2.00
12.91 40.00 4.00
14.95 36.82 4.00
7.38 33.60 2.00
5.09 35.12 2.00
14.22 36.60 4.00
10.38 39.56 4.00
9.00 33.86 3.00
4.71 28.86 1.00
3.77 28.27 1.00
7.47 30.39 2.00
13.89 39.40 4.00
6.57 29.04 1.00
8.43 33.34 2.00
14.23 36.06 4.00
5.61 28.73 1.00
10.36 40.00 4.00
13.67 33.92 3.00
6.63 31.45 2.00
8.58 34.33 3.00
3.68 31.85 1.00
11.50 33.96 3.00
4.34 27.19 1.00
6.80 30.74 2.00
11.74 39.77 4.00
18.44 40.00 5.00
12.79 36.75 4.00
9.53 37.19 3.00
14.68 36.47 4.00
10.73 37.36 4.00
7.40 31.63 2.00
2.35 24.24 0.00
11.30 38.63 4.00
8.94 34.18 3.00
1.25 23.45 0.00
16.74 38.75 5.00
0.00 21.46 0.00
8.61 31.20 2.00
7.03 29.22 2.00
9.04 32.75 2.00
9.42 31.91 2.00
7.60 28.40 2.00
7.63 37.28 3.00
14.10 40.00 5.00
16.95 39.15 5.00
4.71 32.66 2.00
16.43 40.00 5.00
12.65 35.94 4.00
16.42 40.00 5.00
15.49 39.94 5.00
3.62 24.67 0.00
7.57 28.55 2.00
14.43 40.00 5.00
15.72 38.68 5.00
5.41 32.96 2.00
9.16 35.47 3.00
10.74 40.00 4.00
20.00 40.00 5.00
8.44 34.32 3.00
2.72 27.04 0.00
9.03 32.12 2.00
19.72 40.00 5.00
16.14 37.21 4.00
18.19 40.00 5.00
9.60 34.08 3.00
6.67 30.10 2.00
11.06 35.10 3.00
1.96 26.60 0.00
4.65 30.23 1.00
1.65 19.60 0.00
6.58 33.63 2.00
2.49 26.38 0.00
4.70 29.07 1.00
5.51 30.63 2.00
12.52 40.00 4.00
12.46 38.07 4.00
7.20 29.15 2.00
16.33 37.28 4.00
3.57 23.43 0.00
7.65 28.44 2.00
13.51 33.53 3.00
9.76 34.12 3.00
7.85 35.70 3.00
2.86 22.45 0.00
13.33 36.75 4.00
9.71 40.00 4.00
9.98 32.07 3.00
16.27 40.00 5.00
10.09 36.57 3.00
6.03 28.52 1.00
3.41 28.63 1.00
6.71 31.11 2.00
16.24 38.49 5.00
17.59 40.00 5.00
13.22 37.39 4.00
8.70 31.35 2.00
2.36 26.01 0.00
